dry_gas,mail_gas,dev_gas,total_gas,dry_temp_rise,mail_temp_rise,dev_temp_rise,total_temp_rise,dry_efficiency,mail_efficiency,dev_efficiency,total_efficiency,batch_id,deviation,start_gas
12820.0,37500.0,3355.0,53675.0,-121.39999999999999,91.4,28.600000000000023,-1.399999999999963,-0.9469578783151326,0.24373333333333336,0.8524590163934432,-0.002608290638099605,export-roasts_PR-4634.xls,1541.7,20
12800.0,37550.0,3805.0,54155.0,-124.9,91.2,29.80000000000001,-3.8999999999999915,-0.97578125,0.24287616511318244,0.7831800262812093,-0.007201551103314544,export-roasts_PR-4635.xls,1412.1500000000003,20
12800.0,36540.0,3355.0,52695.0,-122.99999999999999,91.5,28.69999999999999,-2.799999999999997,-0.9609374999999998,0.2504105090311987,0.8554396423248879,-0.0053135971154758465,export-roasts_PR-4659.xls,1770.2000000000003,20
12800.0,35460.0,4255.0,52515.0,-123.4,89.39999999999999,29.69999999999999,-4.300000000000026,-0.9640625,0.2521150592216582,0.698002350176263,-0.008188136722841141,export-roasts_PR-4660.xls,1369.3,20
12800.0,37540.0,3715.0,54055.0,-125.10000000000001,91.5,29.5,-4.1000000000000085,-0.9773437500000001,0.24374001065530101,0.7940780619111709,-0.007584867264822882,export-roasts_PR-4661.xls,1240.449999999999,20
12800.0,37650.0,4705.0,55155.0,-127.1,91.00000000000001,31.599999999999994,-4.499999999999986,-0.99296875,0.24169986719787523,0.671625929861849,-0.008158825129181372,export-roasts_PR-4663.xls,1073.0499999999988,20
12800.0,37290.0,3125.0,53215.0,-126.19999999999999,92.3,28.099999999999994,-5.799999999999997,-0.9859374999999998,0.2475194422097077,0.8991999999999998,-0.010899182561307896,export-roasts_PR-4664.xls,1549.6500000000024,20
12820.0,37560.0,3985.0,54365.0,-124.10000000000001,90.6,29.900000000000006,-3.6000000000000085,-0.9680187207488301,0.2412140575079872,0.7503136762860729,-0.006621907477237209,export-roasts_PR-4706.xls,1186.2500000000005,20
12800.0,37590.0,4165.0,54555.0,-125.8,90.9,30.30000000000001,-4.59999999999998,-0.9828125,0.2418196328810854,0.7274909963985596,-0.008431857758225607,export-roasts_PR-4707.xls,1224.750000000004,20
12800.0,37540.0,3805.0,54145.0,-126.89999999999999,90.70000000000002,30.30000000000001,-5.899999999999963,-0.9914062499999999,0.24160895045285033,0.7963206307490148,-0.010896666358851163,export-roasts_PR-4708.xls,1689.1500000000087,20
12800.0,37660.0,4885.0,55345.0,-125.4,90.39999999999999,31.900000000000006,-3.1000000000000085,-0.9796875,0.24004248539564524,0.6530194472876153,-0.0056012286566085616,export-roasts_PR-4709.xls,1133.2000000000025,20
12800.0,37510.0,3535.0,53845.0,-125.30000000000001,91.19999999999999,29.69999999999999,-4.400000000000034,-0.9789062500000001,0.2431351639562783,0.8401697312588399,-0.008171603677221717,export-roasts_PR-4710.xls,1651.199999999998,20
12800.0,37690.0,5335.0,55825.0,-124.60000000000001,89.30000000000001,32.900000000000006,-2.3999999999999915,-0.9734375,0.23693287344123112,0.6166822867853796,-0.004299149126735318,export-roasts_PR-4711.xls,1321.5499999999984,20
